Timestamp,Node_ID,Source_ID,Demand_kWh,Supply_kWh,Cost_per_kWh,Line_Loss_%
5,N3,Solar,178.02,190.6,0.082,3.39
6,N8,Solar,222.73,254.69,0.097,3.1
9,N4,Solar,135.27,145.39,0.096,9.02
19,N5,Wind,114.49,363.99,0.109,6.44
20,N2,Wind,182.41,196.74,0.066,9.18
17,N2,Solar,275.1,353.24,0.067,4.79
14,N8,Solar,231.49,458.84,0.094,8.24
3,N2,Solar,210.51,133.66,0.058,9.19
3,N5,Solar,201.61,103.68,0.055,7.31
23,N9,Hydro,51.27,164.32,0.062,7.54
12,N7,Hydro,212.99,189.71,0.068,3.9
23,N9,Hydro,131.35,398.6,0.066,8.79
6,N8,Solar,214.4,327.32,0.055,4.94
8,N7,Solar,116.3,197.6,0.099,5.14
22,N1,Solar,273.01,352.46,0.09,6.02
21,N8,Solar,194.23,297.01,0.06,7.78
17,N8,Wind,120.19,109.73,0.099,3.42
8,N7,Solar,285.11,481.57,0.096,4.96
23,N3,Wind,53.86,471.33,0.086,9.73
3,N2,Hydro,290.9,441.2,0.052,5.08
2,N4,Wind,262.78,226.77,0.07,6.45
22,N1,Solar,284.04,378.41,0.079,2.78
6,N4,Wind,203.75,496.02,0.068,6.15
13,N4,Hydro,269.34,396.31,0.068,7.62
13,N10,Hydro,139.87,217.44,0.072,8.48
19,N7,Wind,266.77,465.3,0.091,6.01
9,N6,Wind,249.57,359.99,0.102,8.37
22,N2,Wind,272.5,235.2,0.083,2.75
5,N5,Solar,194.57,114.38,0.073,6.34
16,N2,Wind,121.64,336.33,0.062,2.3
19,N10,Solar,255.65,244.08,0.056,6.18
17,N8,Wind,242.5,186.33,0.097,2.68
20,N8,Hydro,62.92,312.54,0.062,7.1
14,N8,Solar,231.52,490.34,0.076,4.58
11,N4,Solar,248.8,208.33,0.072,2.63
7,N6,Hydro,56.34,485.06,0.073,7.57
12,N5,Hydro,152.24,169.32,0.046,4.0
2,N10,Hydro,187.31,385.84,0.066,4.24
14,N5,Hydro,288.72,395.16,0.062,6.89
0,N9,Hydro,154.9,199.09,0.054,8.06
10,N2,Hydro,53.6,146.43,0.042,2.33
22,N1,Wind,263.87,381.46,0.088,2.78
18,N7,Wind,172.9,289.39,0.07,5.47
3,N10,Hydro,149.63,346.34,0.065,2.36
9,N9,Wind,143.65,350.34,0.09,8.85
1,N1,Hydro,214.67,165.17,0.043,7.14
11,N3,Wind,56.63,334.31,0.116,6.6
1,N6,Solar,147.04,357.32,0.073,6.36
4,N2,Wind,285.37,254.44,0.118,9.24
4,N5,Hydro,98.95,127.74,0.044,2.15
20,N6,Wind,73.61,373.2,0.064,4.55
11,N5,Solar,261.22,109.31,0.091,4.25
4,N4,Solar,79.54,378.69,0.081,9.02
13,N10,Wind,233.77,421.39,0.077,3.42
4,N5,Hydro,237.65,422.73,0.08,5.3
6,N3,Hydro,143.0,410.57,0.054,9.45
11,N4,Wind,264.6,271.6,0.105,8.04
14,N7,Hydro,75.78,461.02,0.06,8.61
22,N9,Wind,130.01,458.21,0.083,2.09
14,N4,Hydro,276.35,136.51,0.053,9.6
19,N10,Hydro,287.65,329.38,0.065,5.59
14,N4,Wind,123.3,231.47,0.1,8.02
2,N5,Hydro,247.89,415.85,0.044,5.96
21,N10,Hydro,64.39,319.81,0.058,9.1
9,N10,Wind,137.73,146.83,0.069,8.09
7,N6,Hydro,204.55,140.45,0.043,7.61
14,N7,Solar,68.19,428.74,0.085,2.65
18,N2,Solar,71.21,494.66,0.069,4.97
0,N5,Wind,253.2,478.9,0.119,8.03
14,N3,Solar,144.06,133.4,0.089,6.47
3,N6,Hydro,156.06,462.54,0.044,5.94
3,N6,Solar,52.84,287.46,0.053,2.95
2,N2,Solar,79.38,359.68,0.087,6.67
16,N8,Wind,290.54,249.95,0.077,8.95
10,N3,Wind,105.9,485.29,0.061,9.76
0,N10,Hydro,60.79,456.46,0.061,9.94
0,N2,Solar,68.45,321.54,0.098,6.18
5,N7,Wind,207.35,378.3,0.087,7.02
8,N8,Wind,196.08,460.46,0.063,4.25
7,N8,Hydro,287.6,456.11,0.058,6.96
18,N6,Hydro,119.35,175.25,0.059,4.83
4,N7,Solar,195.91,131.09,0.099,9.89
7,N5,Wind,224.54,314.44,0.079,8.51
5,N2,Solar,221.18,165.05,0.096,8.58
17,N9,Wind,287.45,390.29,0.097,5.35
22,N5,Hydro,283.18,446.43,0.042,2.21
18,N7,Hydro,144.12,424.22,0.079,3.2
13,N5,Hydro,198.53,252.36,0.079,8.74
18,N2,Solar,259.58,287.48,0.071,4.19
3,N4,Solar,64.09,445.89,0.091,10.0
17,N6,Hydro,299.16,322.17,0.071,9.56
1,N4,Wind,262.41,198.94,0.087,3.03
14,N3,Hydro,288.51,342.47,0.049,7.37
16,N1,Solar,204.53,243.27,0.056,7.37
0,N10,Solar,180.08,408.93,0.076,8.82
3,N8,Hydro,187.98,324.38,0.075,5.23
2,N8,Hydro,83.5,111.51,0.07,6.96
23,N1,Solar,226.02,185.19,0.057,2.12
19,N4,Solar,137.65,335.97,0.07,5.5
3,N8,Hydro,276.04,239.3,0.061,8.27
14,N9,Solar,149.14,348.83,0.093,9.6
12,N3,Solar,86.77,470.64,0.075,4.07
1,N5,Hydro,164.78,492.01,0.06,4.63
17,N4,Solar,208.35,196.06,0.054,3.03
5,N6,Solar,82.01,160.76,0.057,7.13
15,N3,Wind,95.47,238.27,0.114,5.79
13,N7,Wind,216.89,168.93,0.072,2.33
23,N1,Hydro,92.23,211.44,0.047,2.71
3,N10,Wind,80.16,284.31,0.072,4.91
21,N1,Wind,175.85,376.16,0.062,8.4
16,N7,Hydro,206.98,132.7,0.075,9.37
14,N4,Hydro,65.27,210.75,0.072,7.99
1,N1,Hydro,96.13,183.74,0.055,5.88
16,N7,Solar,204.56,247.57,0.073,7.98
13,N10,Wind,59.17,200.97,0.103,9.16
0,N7,Hydro,177.92,312.85,0.044,5.58
17,N10,Wind,183.15,196.99,0.076,5.02
5,N3,Solar,55.02,228.83,0.061,4.62
16,N10,Solar,79.94,456.21,0.08,7.43
5,N3,Wind,247.29,299.38,0.065,6.3
6,N10,Wind,196.71,398.18,0.086,3.02
11,N10,Wind,120.94,245.23,0.099,6.57
0,N4,Hydro,139.02,494.61,0.064,3.9
16,N7,Wind,75.45,161.14,0.075,3.29
22,N6,Wind,96.64,214.04,0.07,9.17
11,N5,Wind,70.06,309.8,0.085,9.86
6,N7,Solar,78.01,259.14,0.098,8.92
1,N5,Wind,254.27,203.16,0.07,7.35
7,N7,Wind,282.34,322.71,0.094,4.24
7,N9,Hydro,242.37,174.82,0.053,5.4
21,N9,Wind,176.9,196.96,0.067,6.88
2,N5,Hydro,122.16,332.5,0.046,5.85
18,N4,Wind,183.15,120.73,0.08,3.08
10,N8,Solar,65.84,495.98,0.066,8.48
15,N6,Wind,113.66,372.6,0.106,6.77
10,N8,Solar,167.89,264.74,0.067,9.44
23,N5,Hydro,257.65,486.01,0.045,7.85
2,N8,Solar,284.59,172.49,0.053,7.93
13,N5,Solar,193.62,436.73,0.057,8.36
14,N10,Hydro,100.41,165.46,0.047,8.52
10,N9,Solar,216.3,309.23,0.068,9.02
9,N7,Solar,148.11,426.64,0.072,5.02
5,N5,Wind,165.67,220.55,0.105,6.02
16,N9,Hydro,108.05,459.83,0.055,6.35
10,N1,Hydro,276.62,349.7,0.045,9.52
10,N2,Solar,206.93,233.96,0.057,8.35
11,N10,Hydro,205.02,313.38,0.076,8.31
21,N3,Wind,87.92,224.69,0.075,7.95
21,N6,Hydro,58.38,327.96,0.07,9.01
10,N6,Wind,135.52,428.5,0.067,8.77
18,N3,Hydro,81.87,258.91,0.072,3.2
10,N4,Solar,107.31,388.9,0.086,7.13
6,N10,Wind,223.49,317.09,0.075,4.77
23,N10,Wind,95.4,463.38,0.095,5.21
21,N10,Hydro,165.5,478.91,0.046,6.69
11,N1,Hydro,176.47,344.58,0.041,8.98
4,N8,Hydro,283.03,326.05,0.068,9.38
17,N6,Wind,226.81,161.02,0.095,6.85
23,N5,Solar,156.03,394.58,0.097,9.4
6,N9,Wind,162.71,145.3,0.119,8.71
22,N2,Hydro,81.17,468.34,0.075,6.15
21,N4,Solar,197.82,259.6,0.053,4.68
5,N3,Wind,250.71,101.85,0.08,5.19
22,N8,Wind,184.35,467.94,0.081,4.78
21,N6,Hydro,234.38,280.89,0.049,5.62
20,N7,Hydro,85.21,170.55,0.06,5.35
1,N3,Hydro,278.71,244.96,0.063,7.06
3,N9,Solar,53.27,365.41,0.059,9.69
17,N3,Solar,87.17,265.85,0.054,9.97
9,N3,Wind,175.55,338.15,0.064,8.0
1,N10,Solar,102.48,459.22,0.06,3.53
3,N10,Solar,59.14,288.83,0.078,2.53
0,N5,Wind,243.88,281.32,0.091,5.53
12,N5,Wind,150.19,323.86,0.069,3.46
16,N3,Wind,265.45,478.45,0.082,4.17
3,N9,Solar,211.0,263.49,0.051,3.25
12,N6,Solar,228.99,363.57,0.051,3.78
1,N6,Wind,107.77,368.76,0.061,2.83
5,N1,Wind,249.98,171.42,0.099,3.91
4,N10,Wind,74.86,197.27,0.103,8.85
0,N3,Wind,257.55,258.87,0.1,3.64
12,N6,Solar,123.29,458.53,0.051,2.68
11,N6,Hydro,101.97,110.61,0.047,6.66
16,N3,Solar,155.36,457.07,0.091,4.73
3,N3,Hydro,114.86,251.88,0.064,4.14
4,N6,Solar,206.04,263.76,0.078,5.49
11,N7,Hydro,123.62,479.38,0.071,3.12
13,N10,Hydro,267.12,294.97,0.076,8.4
14,N6,Hydro,156.3,108.99,0.051,6.33
18,N9,Wind,208.37,203.16,0.068,8.68
20,N5,Wind,296.1,310.28,0.07,4.18
7,N5,Hydro,54.6,465.72,0.045,6.61
0,N3,Solar,118.51,321.67,0.083,8.64
22,N4,Solar,101.61,104.4,0.057,9.2
22,N9,Wind,268.47,338.97,0.096,7.32
12,N3,Hydro,93.84,465.76,0.057,5.07
2,N10,Hydro,179.73,118.79,0.047,7.9
19,N10,Hydro,70.7,341.26,0.05,5.11
17,N1,Solar,122.17,242.27,0.086,4.38
15,N4,Wind,191.6,290.42,0.1,9.49
6,N6,Hydro,233.14,185.98,0.041,4.1
0,N2,Wind,198.77,120.57,0.09,6.77
15,N6,Solar,133.56,408.36,0.055,2.6
8,N7,Hydro,232.05,298.2,0.068,5.48
1,N3,Hydro,111.6,427.64,0.072,7.56
2,N1,Solar,118.04,336.09,0.068,2.73
2,N7,Hydro,279.33,154.73,0.078,5.57
20,N9,Solar,96.28,316.76,0.094,7.86
19,N5,Hydro,251.64,363.51,0.068,8.79
12,N5,Solar,112.42,295.77,0.061,9.9
4,N1,Solar,286.01,115.77,0.085,9.4
11,N1,Solar,95.14,327.18,0.096,2.27
12,N9,Hydro,224.36,218.94,0.077,9.77
0,N4,Wind,286.07,289.69,0.112,8.76
13,N10,Solar,129.78,431.57,0.052,6.77
19,N7,Solar,107.5,148.23,0.054,7.57
13,N8,Wind,134.97,389.91,0.064,4.52
10,N10,Hydro,184.87,416.29,0.053,7.01
16,N8,Solar,271.49,346.35,0.062,2.2
2,N8,Wind,267.52,108.51,0.112,6.23
15,N10,Wind,284.77,419.51,0.12,4.81
15,N5,Hydro,241.8,260.77,0.059,7.02
8,N1,Solar,268.42,493.63,0.088,5.34
10,N4,Hydro,155.34,395.03,0.05,2.88
8,N1,Solar,138.66,214.9,0.065,3.87
6,N3,Wind,60.52,107.15,0.119,5.42
5,N3,Wind,146.08,371.86,0.073,9.6
22,N9,Solar,246.59,135.76,0.071,9.03
1,N6,Hydro,286.18,286.96,0.065,3.34
7,N3,Hydro,297.79,192.67,0.078,7.2
12,N8,Hydro,201.93,305.08,0.049,3.41
1,N7,Solar,105.12,174.58,0.089,4.8
14,N1,Solar,64.46,487.64,0.094,9.42
21,N7,Wind,298.73,169.56,0.084,8.07
5,N8,Wind,224.01,161.56,0.109,3.8
17,N6,Wind,105.95,314.79,0.096,6.64
0,N4,Wind,72.87,450.98,0.076,3.04
19,N6,Wind,272.19,482.26,0.112,8.48
2,N3,Wind,213.81,320.34,0.065,5.27
22,N8,Solar,143.17,203.9,0.086,5.97
18,N6,Solar,70.26,188.07,0.084,2.61
15,N3,Solar,262.8,298.06,0.074,6.74
1,N3,Solar,256.17,239.12,0.084,6.53
21,N10,Wind,116.76,451.45,0.108,7.27
19,N2,Hydro,262.65,446.92,0.068,8.7
23,N9,Solar,224.37,372.06,0.081,8.02
4,N9,Hydro,89.65,452.35,0.075,2.23
1,N4,Solar,256.45,151.55,0.067,7.95
2,N7,Hydro,90.19,427.19,0.073,6.06
2,N4,Wind,51.6,214.82,0.097,9.85
13,N3,Solar,207.95,203.92,0.082,6.32
18,N3,Solar,244.96,142.79,0.088,6.33
8,N3,Wind,290.75,236.75,0.098,9.46
3,N5,Wind,75.63,474.89,0.101,2.54
9,N10,Wind,125.24,383.27,0.064,6.66
14,N8,Hydro,136.47,348.37,0.042,8.97
9,N1,Hydro,293.37,487.55,0.07,3.04
16,N6,Wind,239.57,109.83,0.061,4.59
1,N10,Hydro,172.16,408.16,0.067,5.57
10,N7,Wind,118.41,498.85,0.086,5.61
12,N7,Solar,90.91,417.92,0.085,3.77
10,N2,Wind,70.6,372.2,0.099,4.19
14,N2,Wind,287.72,160.42,0.086,9.55
18,N7,Solar,154.93,355.41,0.07,4.19
9,N4,Hydro,295.99,263.73,0.076,3.84
4,N2,Wind,103.28,112.45,0.099,4.95
13,N1,Wind,266.09,289.28,0.118,3.48
8,N10,Hydro,267.16,410.64,0.071,8.76
14,N5,Solar,240.26,350.49,0.057,2.26
9,N1,Solar,280.21,346.66,0.09,5.85
8,N8,Hydro,79.33,150.07,0.067,5.44
4,N7,Solar,100.13,296.64,0.053,6.66
12,N6,Hydro,117.25,419.02,0.052,5.64
16,N10,Wind,52.91,128.98,0.084,5.84
13,N10,Solar,200.01,216.67,0.085,8.88
1,N2,Solar,244.96,115.85,0.074,2.84
23,N5,Solar,110.51,494.67,0.057,5.99
23,N8,Wind,204.54,380.99,0.094,2.08
11,N7,Solar,131.62,307.08,0.054,4.81
12,N4,Hydro,58.3,131.43,0.056,3.06
13,N1,Wind,191.89,375.79,0.108,3.6
5,N3,Wind,91.87,141.83,0.098,7.65
5,N4,Hydro,57.9,474.48,0.042,6.33
1,N7,Wind,227.27,448.39,0.103,8.41
10,N8,Wind,134.86,425.93,0.065,9.16
17,N4,Solar,186.9,426.92,0.073,7.15
0,N7,Hydro,181.6,392.64,0.043,2.48
0,N6,Hydro,111.78,163.82,0.075,3.75
7,N2,Solar,293.97,234.76,0.059,8.32
17,N10,Wind,214.68,299.28,0.093,7.75
20,N8,Hydro,107.11,498.53,0.079,7.2
23,N4,Solar,99.89,372.09,0.054,2.25
22,N3,Hydro,114.42,285.05,0.075,7.82
15,N9,Hydro,235.68,270.2,0.054,4.97
8,N1,Solar,296.91,116.04,0.093,6.63
6,N6,Solar,159.65,390.1,0.074,8.99
10,N10,Wind,275.18,268.69,0.077,6.74
17,N1,Hydro,278.09,184.26,0.065,7.05
11,N3,Wind,233.28,152.63,0.103,9.27
23,N7,Wind,94.92,195.02,0.118,3.45
13,N3,Wind,263.6,296.91,0.075,8.97
10,N2,Solar,161.33,305.93,0.068,6.74
1,N8,Hydro,90.88,256.43,0.079,4.07
23,N3,Solar,214.18,230.08,0.089,3.05
0,N8,Hydro,292.46,281.52,0.049,2.59
22,N10,Wind,92.44,307.91,0.08,8.63
11,N1,Wind,157.72,199.49,0.097,7.65
8,N1,Hydro,91.76,167.05,0.041,7.89
8,N10,Solar,215.95,289.85,0.092,8.45
4,N6,Hydro,196.34,447.31,0.048,2.9
6,N2,Wind,117.44,122.83,0.092,9.49
0,N10,Solar,59.84,148.84,0.073,9.47
20,N8,Hydro,129.04,302.89,0.042,3.19
5,N3,Solar,296.66,486.05,0.05,9.61
9,N6,Solar,209.78,447.17,0.073,6.12
6,N6,Wind,172.21,366.75,0.068,2.24
20,N5,Hydro,126.98,381.87,0.048,7.39
2,N8,Hydro,292.48,137.56,0.067,5.55
10,N9,Solar,267.04,170.86,0.085,8.7
10,N4,Wind,286.15,373.3,0.09,6.94
10,N6,Wind,267.23,328.24,0.062,9.45
16,N10,Solar,222.38,370.61,0.061,7.27
8,N10,Solar,148.47,360.49,0.055,7.26
7,N2,Wind,299.85,119.28,0.119,5.26
1,N3,Wind,267.69,412.95,0.094,7.91
17,N1,Hydro,269.63,261.66,0.053,7.34
3,N6,Hydro,251.96,404.91,0.072,5.48
3,N10,Solar,254.46,148.08,0.077,2.05
3,N6,Wind,131.15,246.58,0.084,7.56
21,N8,Hydro,147.14,279.48,0.05,4.99
0,N8,Wind,106.82,129.28,0.096,7.35
21,N1,Hydro,204.87,285.4,0.055,8.91
20,N5,Wind,179.77,291.67,0.062,4.73
1,N9,Wind,145.05,259.53,0.095,6.27
16,N4,Hydro,201.98,405.95,0.073,7.74
11,N6,Solar,288.88,107.29,0.06,2.06
2,N8,Hydro,211.87,459.21,0.05,9.42
16,N4,Hydro,65.07,473.77,0.054,2.81
4,N9,Hydro,171.47,202.71,0.051,4.46
0,N2,Hydro,250.76,315.66,0.052,6.88
12,N3,Solar,229.04,209.05,0.071,2.98
15,N10,Hydro,95.29,372.45,0.047,6.2
8,N5,Hydro,227.26,142.75,0.063,4.05
14,N6,Hydro,290.73,293.42,0.072,6.4
19,N7,Solar,60.85,353.26,0.098,6.81
20,N6,Solar,254.8,453.68,0.061,3.7
9,N8,Wind,202.75,264.41,0.11,9.2
18,N1,Wind,138.36,194.75,0.107,4.2
11,N7,Hydro,255.65,269.5,0.067,2.76
12,N1,Hydro,205.96,280.71,0.063,3.34
15,N8,Wind,234.22,445.12,0.073,2.77
21,N9,Wind,55.91,356.79,0.096,6.37
8,N6,Wind,107.99,256.36,0.096,5.97
19,N9,Wind,296.95,154.58,0.102,5.23
2,N4,Wind,157.05,387.04,0.102,9.93
2,N10,Wind,82.1,141.64,0.103,6.63
8,N4,Hydro,118.54,131.77,0.043,9.15
2,N3,Solar,97.97,229.35,0.061,4.84
22,N3,Wind,67.36,307.62,0.064,8.4
18,N3,Hydro,108.43,316.0,0.075,7.21
23,N5,Wind,183.24,229.73,0.08,7.36
17,N4,Wind,298.53,364.74,0.093,7.85
3,N6,Solar,166.3,124.06,0.078,9.66
10,N7,Hydro,93.83,376.0,0.048,6.29
9,N3,Solar,74.17,280.15,0.088,4.78
9,N1,Solar,216.23,418.18,0.096,3.88
15,N2,Solar,149.83,160.97,0.1,9.42
23,N3,Wind,184.99,436.81,0.091,6.99
11,N1,Hydro,72.28,402.11,0.045,8.61
12,N8,Hydro,245.51,383.5,0.041,4.43
9,N5,Hydro,115.78,244.05,0.044,9.5
6,N8,Solar,188.45,222.21,0.07,5.58
18,N1,Solar,200.15,306.27,0.096,5.98
8,N2,Solar,298.04,440.57,0.06,9.44
9,N2,Wind,79.09,426.98,0.083,9.02
9,N5,Hydro,267.01,422.37,0.072,4.44
13,N6,Solar,70.23,261.19,0.059,7.56
1,N8,Hydro,136.52,490.24,0.066,8.58
19,N1,Wind,83.13,444.81,0.115,5.9
19,N5,Wind,201.56,405.92,0.07,6.02
9,N8,Wind,149.67,158.55,0.082,2.55
23,N7,Solar,56.45,154.07,0.098,6.4
5,N2,Hydro,291.46,273.0,0.052,6.05
5,N7,Hydro,159.88,142.27,0.066,3.73
23,N8,Solar,204.9,360.08,0.058,2.49
1,N1,Hydro,245.19,283.92,0.042,9.96
14,N1,Wind,64.45,378.01,0.119,3.91
1,N10,Wind,85.56,148.55,0.078,2.81
6,N3,Hydro,223.04,124.92,0.06,9.97
21,N4,Hydro,253.49,346.09,0.052,6.99
4,N1,Hydro,181.76,270.43,0.045,9.09
21,N2,Solar,162.45,177.85,0.068,5.31
10,N5,Wind,256.88,393.45,0.106,2.09
8,N5,Wind,154.04,292.54,0.061,4.08
19,N6,Wind,240.07,154.84,0.092,3.72
5,N8,Hydro,53.03,196.48,0.079,8.41
21,N6,Wind,289.89,295.14,0.067,6.38
19,N2,Solar,163.59,437.74,0.055,5.91
10,N2,Hydro,87.51,229.87,0.069,5.81
0,N7,Solar,143.97,257.79,0.073,8.28
6,N4,Wind,273.02,482.13,0.107,4.52
6,N3,Hydro,222.03,275.04,0.05,8.73
9,N1,Solar,59.61,460.7,0.073,7.1
15,N5,Wind,214.84,458.05,0.098,6.91
12,N7,Wind,66.66,307.36,0.069,7.9
3,N6,Wind,178.06,372.09,0.063,2.68
7,N5,Hydro,229.08,128.83,0.043,2.1
9,N8,Hydro,289.13,395.0,0.054,4.37
20,N4,Wind,137.43,409.86,0.1,3.48
3,N5,Solar,93.53,139.36,0.083,8.11
3,N7,Hydro,116.26,108.38,0.043,9.74
2,N5,Wind,123.86,407.69,0.097,5.06
5,N4,Wind,101.42,148.55,0.097,8.2
4,N2,Wind,210.98,312.12,0.063,9.75
21,N10,Hydro,249.68,217.13,0.079,6.82
19,N1,Hydro,195.61,399.23,0.072,7.25
23,N5,Solar,82.02,235.31,0.096,3.8
15,N5,Wind,143.04,272.83,0.086,6.9
4,N10,Solar,285.77,196.28,0.056,3.58
20,N4,Wind,271.73,358.32,0.077,8.53
17,N2,Hydro,265.34,438.61,0.077,4.02
3,N9,Hydro,238.76,284.22,0.074,7.83
22,N2,Wind,244.11,362.46,0.071,6.36
7,N1,Hydro,296.17,474.96,0.042,3.32
11,N5,Hydro,82.93,390.39,0.073,3.71
6,N1,Solar,176.46,436.28,0.087,6.34
11,N2,Wind,197.59,303.34,0.078,6.52
16,N7,Hydro,222.22,449.33,0.065,8.09
4,N6,Hydro,90.02,284.62,0.04,3.97
11,N4,Wind,231.62,496.72,0.066,5.21
3,N9,Solar,250.02,181.61,0.078,7.86
19,N3,Solar,204.0,175.21,0.068,8.27
6,N4,Solar,188.56,102.09,0.088,2.28
23,N3,Hydro,236.43,180.99,0.078,4.94
8,N7,Wind,131.73,159.56,0.078,9.01
4,N8,Wind,299.08,247.32,0.087,7.78
8,N7,Hydro,271.55,337.22,0.056,5.3
23,N9,Solar,223.9,101.29,0.081,4.84
3,N2,Hydro,248.55,137.2,0.064,5.85
11,N9,Solar,210.58,125.94,0.079,6.49
5,N9,Hydro,190.17,341.4,0.067,8.44
17,N6,Wind,117.46,430.02,0.09,2.62
0,N8,Hydro,64.64,233.7,0.071,7.66
8,N4,Solar,247.15,306.91,0.072,3.18
11,N6,Wind,132.05,273.61,0.065,3.76
0,N5,Hydro,199.56,394.27,0.08,9.46
15,N5,Wind,210.64,268.5,0.098,8.29
3,N3,Solar,79.58,263.96,0.092,5.07
16,N10,Wind,192.97,335.11,0.071,4.9
12,N10,Hydro,133.63,110.48,0.041,8.65
14,N7,Hydro,118.27,307.23,0.052,9.53
18,N8,Wind,114.82,271.86,0.112,8.74
5,N3,Solar,96.53,421.06,0.073,5.86
18,N9,Hydro,83.37,132.24,0.069,5.97
8,N1,Wind,159.21,391.8,0.106,3.27
5,N3,Solar,202.56,154.14,0.088,7.26
5,N4,Solar,289.15,127.58,0.053,4.26
6,N4,Wind,115.43,198.79,0.114,4.0
5,N5,Wind,117.99,403.76,0.087,8.21
20,N4,Hydro,66.34,295.03,0.041,2.5
1,N2,Hydro,276.61,155.7,0.061,5.29
10,N7,Solar,136.84,459.93,0.051,7.31
13,N4,Wind,290.85,324.07,0.116,2.42
0,N1,Hydro,154.7,204.06,0.069,9.85
10,N8,Hydro,114.13,361.67,0.048,6.52
4,N4,Solar,165.98,488.8,0.08,4.8
14,N8,Solar,78.52,160.5,0.061,4.01
23,N5,Wind,262.65,324.49,0.091,2.92
22,N6,Hydro,265.03,389.13,0.043,7.66
20,N7,Solar,185.88,132.69,0.073,5.88
1,N2,Hydro,91.44,478.28,0.074,7.35
1,N10,Wind,165.57,264.71,0.099,6.36
19,N1,Hydro,65.57,305.0,0.072,5.67
14,N6,Hydro,62.99,414.51,0.048,4.07
17,N3,Hydro,91.18,232.09,0.07,6.16
17,N8,Wind,101.22,451.13,0.113,8.96
18,N10,Solar,109.7,280.5,0.099,8.18
12,N5,Solar,56.79,126.08,0.073,9.27
16,N2,Wind,184.68,299.13,0.066,7.25
1,N5,Wind,255.53,252.17,0.107,9.72
14,N8,Solar,100.94,309.33,0.064,8.34
15,N8,Hydro,194.4,353.83,0.072,5.17
6,N2,Wind,278.77,313.21,0.069,7.57
14,N4,Solar,248.32,226.7,0.093,9.25
11,N7,Wind,119.23,493.41,0.068,3.62
10,N8,Hydro,96.06,457.6,0.066,3.22
4,N5,Hydro,160.08,346.12,0.043,9.06
0,N10,Solar,250.9,302.08,0.098,5.34
5,N1,Wind,296.03,367.17,0.098,3.33
9,N1,Wind,270.48,271.0,0.07,2.1
3,N4,Hydro,189.94,310.96,0.069,9.12
1,N5,Wind,69.85,392.6,0.071,8.87
4,N6,Hydro,254.77,316.32,0.068,4.51
5,N10,Solar,167.79,428.65,0.073,4.86
0,N2,Solar,173.55,431.3,0.067,3.39
21,N4,Hydro,228.0,430.39,0.044,3.92
11,N3,Hydro,85.49,239.18,0.058,7.99
2,N4,Hydro,212.79,348.37,0.054,8.73
20,N8,Hydro,167.82,491.64,0.065,3.01
8,N4,Hydro,219.04,230.04,0.067,2.56
16,N7,Solar,93.72,442.29,0.061,8.7
3,N10,Wind,119.82,357.15,0.102,6.1
6,N4,Hydro,126.33,185.06,0.041,4.43
2,N2,Hydro,213.29,475.32,0.075,8.13
20,N10,Hydro,247.11,365.99,0.05,9.26
